Nom,Mail,Ville,Parti_Politique,Site_Internet
M. Jean-Pierre Cubertafon,Jean-Pierre.Cubertafon@assemblee-nationale.fr,Dordogne,Démocrate (MoDem et Indépendants),https://www.hatvp.fr/pages_nominatives/cubertafon-jean-pierre
Mme Nathalie Da Conceicao Carvalho,nathalie.daconceicaocarvalho@assemblee-nationale.fr,Essonne,Rassemblement National,https://www.hatvp.fr/pages_nominatives/da-conceicao-carvalho-nathalie-24181
Mme Marie-Christine Dalloz,Marie-Christine.Dalloz@assemblee-nationale.fr,Jura,Les Républicains,http://www.mcdalloz.fr/
M. Hendrik Davi,hendrik.davi@assemblee-nationale.fr,Bouches-du-Rhône,La France insoumise - Nouvelle Union Populaire écologique et sociale,http://www.hendrikdavi.fr
Mme Christine Decodts,christine.decodts@assemblee-nationale.fr,Nord,Renaissance,https://www.hatvp.fr/pages_nominatives/decodts-christine-24263
M. Stéphane Delautrette,stephane.delautrette@assemblee-nationale.fr,Haute-Vienne,Socialistes et apparentés (membre de l’intergroupe NUPES),https://www.hatvp.fr/pages_nominatives/delautrette-stephane-22744
Mme Julie Delpech,julie.delpech@assemblee-nationale.fr,Sarthe,Renaissance,http://www.julie-delpech.avecvous.fr/
M. Vincent Descoeur,Vincent.Descoeur@assemblee-nationale.fr,Cantal,Les Républicains,http://www.descoeur.com
Mme Mathilde Desjonquères,mathilde.desjonqueres@assemblee-nationale.fr,Loir-et-Cher,Démocrate (MoDem et Indépendants),https://www.hatvp.fr/pages_nominatives/desjonqueres-mathilde-24502
M. Pierre Dharréville,Pierre.Dharreville@assemblee-nationale.fr,Bouches-du-Rhône,Gauche démocrate et républicaine - NUPES,http://www.pierredharreville.fr
Mme Edwige Diaz,edwige.diaz@assemblee-nationale.fr,Gironde,Rassemblement National,https://www.hatvp.fr/pages_nominatives/diaz-edwige-24319
M. Julien Dive,Julien.Dive@assemblee-nationale.fr,Aisne,Les Républicains,https://www.hatvp.fr/pages_nominatives/dive-julien
M. Nicolas Dragon,nicolas.dragon@assemblee-nationale.fr,Aisne,Rassemblement National,http://www.nicolasdragon.com
Mme Nicole Dubré-Chirat,Nicole.Dubre-Chirat@assemblee-nationale.fr,Maine-et-Loire,Renaissance,http://nicole-dubre-chirat.fr
Mme Alma Dufour,alma.dufour@assemblee-nationale.fr,Seine-Maritime,La France insoumise - Nouvelle Union Populaire écologique et sociale,http://almadufour.fr
M. Philippe Dunoyer,Philippe.Dunoyer@assemblee-nationale.fr,Nouvelle-Calédonie,Renaissance,https://www.hatvp.fr/pages_nominatives/dunoyer-philippe
M. Nicolas Dupont-Aignan,Nicolas.Dupont-Aignan@assemblee-nationale.fr,Essonne,Non inscrit,https://www.hatvp.fr/pages_nominatives/dupont-aignan-nicolas
Mme Christine Engrand,christine.engrand@assemblee-nationale.fr,Pas-de-Calais,Rassemblement National,https://www.hatvp.fr/pages_nominatives/engrand-christine-24281
Mme Sophie Errante,Sophie.Errante@assemblee-nationale.fr,Loire-Atlantique,Renaissance,https://www.hatvp.fr/pages_nominatives/errante-sophie
Mme Martine Etienne,martine.etienne@assemblee-nationale.fr,Meurthe-et-Moselle,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/etienne-martine-24153
M. Frédéric Falcon,frederic.falcon@assemblee-nationale.fr,Aude,Rassemblement National,https://www.hatvp.fr/pages_nominatives/falcon-frederic-24248
Mme Elsa Faucillon,Elsa.Faucillon@assemblee-nationale.fr,Hauts-de-Seine,Gauche démocrate et républicaine - NUPES,http://www.elsa-faucillon.fr
M. Yannick Favennec-Bécot,Yannick.Favennec@assemblee-nationale.fr,Mayenne,Horizons et apparentés,https://www.hatvp.fr/pages_nominatives/favennec-becot-yannick
M. Marc Ferracci,marc.ferracci@assemblee-nationale.fr,Français établis hors de France,Renaissance,http://www.marc-ferracci.fr
Mme Sylvie Ferrer,sylvie.ferrer@assemblee-nationale.fr,Hautes-Pyrénées,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/ferrer-sylvie-24213
M. Jean-Marie Fiévet,Jean-Marie.Fievet@assemblee-nationale.fr,Deux-Sèvres,Renaissance,https://www.hatvp.fr/pages_nominatives/fievet-jean-marie
M. Nicolas Forissier,Nicolas.Forissier@assemblee-nationale.fr,Indre,Les Républicains,https://www.hatvp.fr/pages_nominatives/forissier-nicolas
M. Charles Fournier,charles.fournier@assemblee-nationale.fr,Indre-et-Loire,Écologiste - NUPES,https://www.hatvp.fr/pages_nominatives/fournier-charles
M. Thierry Frappé,thierry.frappe@assemblee-nationale.fr,Pas-de-Calais,Rassemblement National,https://www.hatvp.fr/pages_nominatives/frappe-thierry-24232
M. Bruno Fuchs,Bruno.Fuchs@assemblee-nationale.fr,Haut-Rhin,Démocrate (MoDem et Indépendants),http://bruno-fuchs.fr
M. Perceval Gaillard,perceval.gaillard@assemblee-nationale.fr,Réunion,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/gaillard-perceval-19040
Mme Marie-Charlotte Garin,marie-charlotte.garin@assemblee-nationale.fr,Rhône,Écologiste - NUPES,https://www.hatvp.fr/pages_nominatives/garin-marie-charlotte-24147
Mme Raquel Garrido,raquel.garrido@assemblee-nationale.fr,Seine-Saint-Denis,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/garrido-raquel-24194
Mme Maud Gatel,maud.gatel@assemblee-nationale.fr,Paris,Démocrate (MoDem et Indépendants),http://www.maudgatel.fr
M. Luc Geismar,luc.geismar@assemblee-nationale.fr,Loire-Atlantique,Démocrate (MoDem et Indépendants),https://www.hatvp.fr/pages_nominatives/geismar-luc-19687
Mme Annie Genevard,Annie.Genevard@assemblee-nationale.fr,Doubs,Les Républicains,http://www.anniegenevard.fr
M. Raphaël Gérard,Raphael.Gerard@assemblee-nationale.fr,Charente-Maritime,Renaissance,http://www.raphaelgerard.fr
M. Hadrien Ghomi,hadrien.ghomi@assemblee-nationale.fr,Seine-et-Marne,Renaissance,https://www.hatvp.fr/pages_nominatives/ghomi-hadrien-24304
M. Yoann Gillet,yoann.gillet@assemblee-nationale.fr,Gard,Rassemblement National,http://www.yoanngillet.fr
M. Éric Girardin,Eric.Girardin@assemblee-nationale.fr,Marne,Renaissance,https://www.hatvp.fr/pages_nominatives/girardin-eric
Mme Olga Givernet,Olga.Givernet@assemblee-nationale.fr,Ain,Renaissance,http://www.olga-givernet.fr
M. José Gonzalez,jose.gonzalez@assemblee-nationale.fr,Bouches-du-Rhône,Rassemblement National,https://www.hatvp.fr/pages_nominatives/gonzalez-jose-24144
M. Guillaume Gouffier-Cha,Guillaume.Gouffier-Cha@assemblee-nationale.fr,Val-de-Marne,Renaissance,http://guillaume.gouffier-cha.fr
Mme Perrine Goulet,Perrine.Goulet@assemblee-nationale.fr,Nièvre,Démocrate (MoDem et Indépendants),http://perrinegoulet.fr
M. Jean-Carles Grelier,Jean-Carles.Grelier@assemblee-nationale.fr,Sarthe,Renaissance,https://www.hatvp.fr/pages_nominatives/grelier-jean-carles-9591
Mme Justine Gruet,justine.gruet@assemblee-nationale.fr,Jura,Les Républicains,https://www.hatvp.fr/pages_nominatives/gruet-justine-24336
Mme Clémence Guetté,clemence.guette@assemblee-nationale.fr,Val-de-Marne,La France insoumise - Nouvelle Union Populaire écologique et sociale,http://clemenceguette.fr
Mme Claire Guichard,claire.guichard@assemblee-nationale.fr,Hauts-de-Seine,Renaissance,https://www.hatvp.fr/pages_nominatives/guichard-claire-24505
M. Michel Guiniot,michel.guiniot@assemblee-nationale.fr,Oise,Rassemblement National,https://www.hatvp.fr/pages_nominatives/guiniot-michel-24237
M. Jordan Guitton,jordan.guitton@assemblee-nationale.fr,Aube,Rassemblement National,https://www.hatvp.fr/pages_nominatives/guitton-jordan-24258
M. Victor Habert-Dassault,victor.habert-dassault@assemblee-nationale.fr,Oise,Les Républicains,https://www.hatvp.fr/pages_nominatives/habert-dassault-victor-22004
M. Meyer Habib,Meyer.Habib@assemblee-nationale.fr,Français établis hors de France,Les Républicains,https://www.hatvp.fr/pages_nominatives/habib-meyer
Mme Nadia Hai,nadia.hai@assemblee-nationale.fr,Yvelines,Renaissance,https://www.hatvp.fr/pages_nominatives/hai-nadia
Mme Marine Hamelet,marine.hamelet@assemblee-nationale.fr,Tarn-et-Garonne,Rassemblement National,https://www.hatvp.fr/pages_nominatives/hamelet-marine-24151
M. Joris Hébrard,joris.hebrard@assemblee-nationale.fr,Vaucluse,Rassemblement National,https://www.hatvp.fr/pages_nominatives/hebrard-joris-21002
M. Michel Herbillon,Michel.Herbillon@assemblee-nationale.fr,Val-de-Marne,Les Républicains,https://www.hatvp.fr/pages_nominatives/herbillon-michel
Mme Laurence Heydel Grillere,laurence.heydelgrillere@assemblee-nationale.fr,Ardèche,Renaissance,https://www.hatvp.fr/pages_nominatives/heydel-grillere-laurence-24501
M. Alexandre Holroyd,Alexandre.Holroyd@assemblee-nationale.fr,Français établis hors de France,Renaissance,http://www.alexandre-holroyd.fr
M. Timothée Houssin,timothee.houssin@assemblee-nationale.fr,Eure,Rassemblement National,https://www.hatvp.fr/pages_nominatives/houssin-timothee-24241
Mme Monique Iborra,Monique.Iborra@assemblee-nationale.fr,Haute-Garonne,Renaissance,https://www.hatvp.fr/pages_nominatives/iborra-monique
M. Cyrille Isaac-Sibille,Cyrille.Isaac-Sibille@assemblee-nationale.fr,Rhône,Démocrate (MoDem et Indépendants),http://cyrille.isaac-sibille.fr
M. Laurent Jacobelli,laurent.jacobelli@assemblee-nationale.fr,Moselle,Rassemblement National,https://www.hatvp.fr/pages_nominatives/jacobelli-laurent-24167
Mme Élodie Jacquier-Laforge,Elodie.Jacquier-Laforge@assemblee-nationale.fr,Isère,Démocrate (MoDem et Indépendants),http://www.elodiejacquierlaforge.fr
M. François Jolivet,Francois.Jolivet@assemblee-nationale.fr,Indre,Horizons et apparentés,http://francois-jolivet.fr
Mme Sandrine Josso,Sandrine.Josso@assemblee-nationale.fr,Loire-Atlantique,Démocrate (MoDem et Indépendants),https://www.hatvp.fr/pages_nominatives/josso-sandrine
M. Hubert Julien-Laferrière,Hubert.Julien-Laferriere@assemblee-nationale.fr,Rhône,Écologiste - NUPES,https://www.hatvp.fr/pages_nominatives/julien-laferriere-hubert
M. Philippe Juvin,philippe.juvin@assemblee-nationale.fr,Hauts-de-Seine,Les Républicains,http://www.philippejuvin.fr
M. Mansour Kamardine,Mansour.Kamardine@assemblee-nationale.fr,Mayotte,Les Républicains,http://www.mansour-kamardine.net
M. Guillaume Kasbarian,Guillaume.Kasbarian@assemblee-nationale.fr,Eure-et-Loir,Renaissance,http://guillaumekasbarian.fr
Mme Fatiha Keloua Hachi,fatiha.kelouahachi@assemblee-nationale.fr,Seine-Saint-Denis,Socialistes et apparentés (membre de l’intergroupe NUPES),https://www.hatvp.fr/pages_nominatives/keloua-hachi-fatiha-24329
M. Loïc Kervran,Loic.Kervran@assemblee-nationale.fr,Cher,Horizons et apparentés,http://loic-kervran.fr
Mme Brigitte Klinkert,brigitte.klinkert@assemblee-nationale.fr,Haut-Rhin,Renaissance,https://www.hatvp.fr/pages_nominatives/klinkert-brigitte-13215
M. Daniel Labaronne,Daniel.Labaronne@assemblee-nationale.fr,Indre-et-Loire,Renaissance,https://www.hatvp.fr/pages_nominatives/labaronne-daniel
M. Emmanuel Lacresse,emmanuel.lacresse@assemblee-nationale.fr,Meurthe-et-Moselle,Renaissance,http://emmanuel-lacresse.fr
M. Fabien Lainé,Fabien.Laine@assemblee-nationale.fr,Landes,Démocrate (MoDem et Indépendants),https://www.hatvp.fr/pages_nominatives/laine-fabien
Mme Amélia Lakrafi,amelia.lakrafi@assemblee-nationale.fr,Français établis hors de France,Renaissance,http://amelialakrafi.fr
Mme Hélène Laporte,helene.laporte@assemblee-nationale.fr,Lot-et-Garonne,Rassemblement National,https://www.hatvp.fr/pages_nominatives/laporte-helene-24647
M. Jean-Charles Larsonneur,Jean-Charles.Larsonneur@assemblee-nationale.fr,Finistère,Horizons et apparentés,http://www.jeancharleslarsonneur.fr
M. Philippe Latombe,Philippe.Latombe@assemblee-nationale.fr,Vendée,Démocrate (MoDem et Indépendants),https://www.hatvp.fr/pages_nominatives/latombe-philippe
Mme Laure Lavalette,laure.lavalette@assemblee-nationale.fr,Var,Rassemblement National,https://www.hatvp.fr/pages_nominatives/lavalette-laure-24134
Mme Sandrine Le Feur,Sandrine.LeFeur@assemblee-nationale.fr,Finistère,Renaissance,http://www.sandrine-lefeur.fr
M. Didier Le Gac,Didier.LeGac@assemblee-nationale.fr,Finistère,Renaissance,http://didierlegac.bzh
M. Tematai Le Gayic,tematai.legayic@assemblee-nationale.fr,Polynésie Française,Gauche démocrate et républicaine - NUPES,https://www.hatvp.fr/pages_nominatives/le-gayic-tematai-24219
Mme Constance Le Grip,Constance.LeGrip@assemblee-nationale.fr,Hauts-de-Seine,Renaissance,https://www.hatvp.fr/pages_nominatives/le-grip-constance
Mme Annaïg Le Meur,Annaig.LeMeur@assemblee-nationale.fr,Finistère,Renaissance,https://www.hatvp.fr/pages_nominatives/le-meur-annaig
Mme Nicole Le Peih,Nicole.LePeih@assemblee-nationale.fr,Morbihan,Renaissance,http://www.nicolelepeih.bzh
M. Fabrice Le Vigoureux,Fabrice.LeVigoureux@assemblee-nationale.fr,Calvados,Renaissance,https://www.hatvp.fr/pages_nominatives/le-vigoureux-fabrice
Mme Marie Lebec,Marie.Lebec@assemblee-nationale.fr,Yvelines,Renaissance,https://www.hatvp.fr/pages_nominatives/lebec-marie
Mme Élise Leboucher,elise.leboucher@assemblee-nationale.fr,Sarthe,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/leboucher-elise-24322
Mme Julie Lechanteux,julie.lechanteux@assemblee-nationale.fr,Var,Rassemblement National,https://www.hatvp.fr/pages_nominatives/lechanteux-julie-15939
M. Vincent Ledoux,Vincent.Ledoux@assemblee-nationale.fr,Nord,Renaissance,https://www.hatvp.fr/pages_nominatives/ledoux-vincent
M. Mathieu Lefèvre,mathieu.lefevre@assemblee-nationale.fr,Val-de-Marne,Renaissance,https://www.hatvp.fr/pages_nominatives/lefevre-mathieu
Mme Sarah Legrain,sarah.legrain@assemblee-nationale.fr,Paris,La France insoumise - Nouvelle Union Populaire écologique et sociale,http://sarahlegrain.fr
M. Didier Lemaire,didier.lemaire@assemblee-nationale.fr,Haut-Rhin,Horizons et apparentés,https://www.hatvp.fr/pages_nominatives/lemaire-didier-24312
M. Stéphane Lenormand,stephane.lenormand@assemblee-nationale.fr,Saint-Pierre-et-Miquelon,"Libertés, Indépendants, Outre-mer et Territoires",https://www.hatvp.fr/pages_nominatives/lenormand-stephane
Mme Murielle Lepvraud,murielle.lepvraud@assemblee-nationale.fr,Côtes-d'Armor,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/lepvraud-murielle-24168
Mme Katiana Levavasseur,katiana.levavasseur@assemblee-nationale.fr,Eure,Rassemblement National,https://www.hatvp.fr/pages_nominatives/levavasseur-katiana-24133
Mme Brigitte Liso,Brigitte.Liso@assemblee-nationale.fr,Nord,Renaissance,https://www.hatvp.fr/pages_nominatives/liso-brigitte
M. Aurélien Lopez-Liguori,aurelien.lopezliguori@assemblee-nationale.fr,Hérault,Rassemblement National,https://www.hatvp.fr/pages_nominatives/lopez-liguori-aurelien-24235
M. Philippe Lottiaux,philippe.lottiaux@assemblee-nationale.fr,Var,Rassemblement National,https://www.hatvp.fr/pages_nominatives/lottiaux-philippe-15882
Mme Véronique Louwagie,Veronique.Louwagie@assemblee-nationale.fr,Orne,Les Républicains,http://www.veroniquelouwagie.fr
M. Benjamin Lucas,benjamin.lucas@assemblee-nationale.fr,Yvelines,Écologiste - NUPES,https://www.hatvp.fr/pages_nominatives/lucas-benjamin-24256
Mme Lise Magnier,Lise.Magnier@assemblee-nationale.fr,Marne,Horizons et apparentés,https://www.hatvp.fr/pages_nominatives/magnier-lise
Mme Laurence Maillart-Méhaignerie,Laurence.Maillart-Mehaignerie@assemblee-nationale.fr,Ille-et-Vilaine,Renaissance,http://lmaillartmehaignerie.fr
M. Emmanuel Mandon,emmanuel.mandon@assemblee-nationale.fr,Loire,Démocrate (MoDem et Indépendants),https://www.hatvp.fr/pages_nominatives/mandon-emmanuel
Mme Jacqueline Maquet,Jacqueline.Maquet@assemblee-nationale.fr,Pas-de-Calais,Renaissance,http://jacqueline-maquet.fr/
M. Matthieu Marchio,matthieu.marchio@assemblee-nationale.fr,Nord,Rassemblement National,https://www.hatvp.fr/pages_nominatives/marchio-matthieu-24230
