Nom,Region,Departement,Email,Date_Election
M. Olivier Cadic,[' sénateur représentant les Français établis hors de France'], sénateur représentant les Français établis hors de France,o.cadic@senat.fr,Elu le 28 septembre 2014
M. Christian Cambon,Ile-de-France, sénateur du Val-de-Marne ,c.cambon@senat.fr,Elu le 26 septembre 2004
M. Michel Canévet,Bretagne, sénateur du Finistère ,m.canevet@senat.fr,Elu le 28 septembre 2014
M. Emmanuel Capus,Pays de la Loire, sénateur de Maine-et-Loire ,e.capus@senat.fr,Elu le 24 septembre 2017
M. Jean-Noël Cardoux,Centre-Val de Loire, sénateur du Loiret ,jn.cardoux@senat.fr,Elu le 25 septembre 2011
Mme Maryse Carrère,Occitanie, sénatrice des Hautes-Pyrénées ,m.carrere@senat.fr,Elue le 24 septembre 2017
Mme Samantha Cazebonne,[' sénatrice représentant les Français établis hors de France'], sénatrice représentant les Français établis hors de France,['None'],Elue le 26 septembre 2021
M. Patrick Chaize,Auvergne-Rhône-Alpes, sénateur de l'Ain ,p.chaize@senat.fr,Elu le 28 septembre 2014
M. Pierre Charon,Ile-de-France, sénateur de Paris ,p.charon@senat.fr,Elu le 25 septembre 2011
M. Alain Chatillon,Occitanie, sénateur de la Haute-Garonne ,a.chatillon@senat.fr,Elu le 21 septembre 2008
Mme Marie-Christine Chauvin,Bourgogne-Franche-Comté, sénateur du Jura ,mc.chauvin@senat.fr,Elue le 24 septembre 2017
Mme Marta de Cidrac,Ile-de-France, sénatrice des Yvelines ,m.de-cidrac@senat.fr,Elue le 24 septembre 2017
Mme Laurence Cohen,Ile-de-France, sénatrice du Val-de-Marne ,l.cohen@senat.fr,Elue le 25 septembre 2011
Mme Hélène Conway-Mouret,[' sénatrice représentant les Français établis hors de France'], sénatrice représentant les Français établis hors de France,h.conway-mouret@senat.fr,Elue le 25 septembre 2011 jusqu'au 21 juillet 2012 (devenue membre du
M. Édouard Courtial,Hauts-de-France, sénateur de l'Oise ,e.courtial@senat.fr,Elu le 24 septembre 2017
Mme Cécile Cukierman,Auvergne-Rhône-Alpes, sénatrice de la Loire ,c.cukierman@senat.fr,Elue le 25 septembre 2011
M. Ronan Dantec,Pays de la Loire, sénateur de la Loire-Atlantique ,r.dantec@senat.fr,Elu le 25 septembre 2011
M. Mathieu Darnaud,Auvergne-Rhône-Alpes, sénateur de l'Ardèche ,m.darnaud@senat.fr,Elu le 28 septembre 2014
M. Jean-Pierre Decool,Hauts-de-France, sénateur du Nord ,jp.decool@senat.fr,Elu le 24 septembre 2017
Mme Nathalie Delattre,Nouvelle Aquitaine, sénatrice de la Gironde ,n.delattre@senat.fr,"Devenue Sénatrice le 1er octobre 2017 (en remplacement de M. Xavier Pintat,"
Mme Annie Delmont-Koropoulis,Ile-de-France, sénatrice de la Seine-Saint-Denis ,a.delmont-koropoulis@senat.fr,Elue le 24 septembre 2017
M. Stéphane Demilly,Hauts-de-France, sénateur de la Somme ,s.demilly@senat.fr,Elu le 27 septembre 2020
Mme Catherine Deroche,Pays de la Loire, sénatrice de Maine-et-Loire ,c.deroche@senat.fr,"Devenue Sénatrice le 12 octobre 2010 (en remplacement de M. Christian Gaudin,"
M. Yves Détraigne,Grand Est, sénateur de la Marne ,y.detraigne@senat.fr,Elu le 23 septembre 2001
M. Gilbert-Luc Devinaz,Auvergne-Rhône-Alpes, sénateur du Rhône ,['None'],"Sénateur le 18 juin 2017 (en remplacement de M. Gérard Collomb, nommé membre du"
Mme Élisabeth Doineau,Pays de la Loire, sénatrice de la Mayenne ,e.doineau@senat.fr,Elue le 28 septembre 2014
M. Thomas Dossus,Auvergne-Rhône-Alpes, sénateur du Rhône ,t.dossus@senat.fr,Elu le 27 septembre 2020
M. Alain Duffourg,Occitanie, sénateur du Gers ,a.duffourg@senat.fr,Elu le 27 septembre 2020
Mme Françoise Dumont,Provence-Alpes-Côte d'Azur, sénatrice du Var ,f.dumont@senat.fr,Elue le 27 septembre 2020
M. Jérôme Durain,Bourgogne-Franche-Comté, sénateur de la Saône-et-Loire ,j.durain@senat.fr,Elu le 28 septembre 2014
Mme Frédérique Espagnac,Nouvelle Aquitaine, sénatrice des Pyrénées-Atlantiques ,f.espagnac@senat.fr,Elue le 25 septembre 2011
Mme Françoise Férat,Grand Est, sénateur de la Marne ,f.ferat@senat.fr,Elue le 23 septembre 2001
Mme Corinne Féret,Normandie, sénatrice du Calvados ,c.feret@senat.fr,"Devenue Sénatrice le 12 juin 2015 (en remplacement de M. François Aubey,"
M. Bernard Fialaire,Auvergne-Rhône-Alpes, sénateur du Rhône ,b.fialaire@senat.fr,Elu le 27 septembre 2020
Mme Martine Filleul,Hauts-de-France, sénatrice du Nord ,m.filleul@senat.fr,Elue le 24 septembre 2017
M. Bernard Fournier,Auvergne-Rhône-Alpes, sénateur de la Loire ,b.fournier@senat.fr,"Devenu Sénateur le 19 novembre 1997 (en remplacement de M. François Mathieu,"
M. Pierre Frogier,Nouvelle-Calédonie, sénateur de la Nouvelle-Calédonie ,p.frogier@senat.fr,Elu le 25 septembre 2011
Mme Laurence Garnier,Pays de la Loire, sénatrice de la Loire-Atlantique ,l.garnier@senat.fr,"Devenue Sénatrice le 1er novembre 2020 (en remplacement de M. Christophe Priou,"
Mme Françoise Gatel,Bretagne, sénateur d'Ille-et-Vilaine ,f.gatel@senat.fr,Elue le 28 septembre 2014
M. Fabien Gay,Ile-de-France, sénateur de la Seine-Saint-Denis ,f.gay@senat.fr,Elu le 24 septembre 2017
Mme Frédérique Gerbaud,Centre-Val de Loire, sénatrice de l'Indre ,f.gerbaud@senat.fr,"Devenue Sénatrice le 18 novembre 2016 (en remplacement de M. Louis Pinton,"
M. Éric Gold,Auvergne-Rhône-Alpes, sénateur du Puy-de-Dôme ,e.gold@senat.fr,Elu le 24 septembre 2017
Mme Béatrice Gosselin,Normandie, sénatrice de la Manche ,b.gosselin@senat.fr,"Devenue Sénatrice le 4 décembre 2020 (en remplacement de M. Alain Sévêque,"
Mme Sylvie Goy-Chavent,Auvergne-Rhône-Alpes, sénateur de l'Ain ,s.goy-chavent@senat.fr,Elue le 21 septembre 2008
Mme Michelle Gréaume,Hauts-de-France, sénatrice du Nord ,m.greaume@senat.fr,Elue le 24 septembre 2017
M. Jacques Grosperrin,Bourgogne-Franche-Comté, sénateur du Doubs ,j.grosperrin@senat.fr,Elu le 28 septembre 2014
M. Charles Guené,Grand Est, sénateur de la Haute-Marne ,c.guene@senat.fr,Elu le 23 septembre 2001
M. Jean-Noël Guérini,Provence-Alpes-Côte d'Azur, sénateur des Bouches-du-Rhône ,jn.guerini@senat.fr,Elu le 27 septembre 1998
Mme Jocelyne Guidez,Ile-de-France, sénatrice de l'Essonne ,j.guidez@senat.fr,Elue le 24 septembre 2017
M. André Guiol,Provence-Alpes-Côte d'Azur, sénateur du Var ,a.guiol@senat.fr,Elu le 27 septembre 2020
Mme Laurence Harribey,Nouvelle Aquitaine, sénatrice de la Gironde ,l.harribey@senat.fr,"Devenue Sénatrice le 1er octobre 2017 (en remplacement de M. Alain Anziani,"
Mme Nadège Havet,Bretagne, sénatrice du Finistère ,n.havet@senat.fr,Elue le 27 septembre 2020
M. Olivier Henno,Hauts-de-France, sénateur du Nord ,o.henno@senat.fr,Elu le 24 septembre 2017
Mme Christine Herzog,Grand Est, sénatrice de la Moselle ,c.herzog@senat.fr,Elue le 24 septembre 2017
M. Jean-Michel Houllegatte,Normandie, sénateur de la Manche ,jm.houllegatte@senat.fr,Elu le 24 septembre 2017
M. Jean-Raymond Hugonet,Ile-de-France, sénateur de l'Essonne ,jr.hugonet@senat.fr,Elu le 24 septembre 2017
Mme Corinne Imbert,Nouvelle Aquitaine, sénatrice de la Charente-Maritime ,c.imbert@senat.fr,Elue le 28 septembre 2014
Mme Annick Jacquemet,Bourgogne-Franche-Comté, sénatrice du Doubs ,a.jacquemet@senat.fr,Elue le 27 septembre 2020
M. Olivier Jacquin,Grand Est, sénateur de la Meurthe-et-Moselle ,o.jacquin@senat.fr,Elu le 24 septembre 2017
Mme Victoire Jasmin,Guadeloupe, sénatrice de la Guadeloupe ,v.jasmin@senat.fr,Elue le 24 septembre 2017
M. Patrice Joly,Bourgogne-Franche-Comté, sénateur de la Nièvre ,p.joly@senat.fr,Elu le 24 septembre 2017
Mme Else Joseph,Grand Est, sénatrice des Ardennes ,e.joseph@senat.fr,Elue le 27 septembre 2020
Mme Muriel Jourda,Bretagne, sénateur du Morbihan ,m.jourda@senat.fr,Elue le 24 septembre 2017
M. Roger Karoutchi,Ile-de-France, sénateur des Hauts-de-Seine ,r.karoutchi@senat.fr,"Devenu Sénateur le 17 décembre 1999 (en remplacement de M. Charles Pasqua,"
M. Éric Kerrouche,Nouvelle Aquitaine, sénateur des Landes ,e.kerrouche@senat.fr,Elu le 24 septembre 2017
M. Mikaele Kulimoetoke,Iles Wallis et Futuna, sénateur des Iles Wallis et Futuna ,m.kulimoetoke@senat.fr,Elu le 27 septembre 2020
Mme Marie-Pierre de La Gontrie,Ile-de-France, sénatrice de Paris ,['None'],Elue le 24 septembre 2017
Mme Sonia de La Provôté,Normandie, sénatrice du Calvados ,s.delaprovote@senat.fr,Devenue Sénatrice le 1er octobre 2017 (en remplacement de M. Jean-Léonce
M. Joël Labbé,Bretagne, sénateur du Morbihan ,j.labbe@senat.fr,Elu le 25 septembre 2011
M. Jean-Louis Lagourgue,La Réunion, sénateur de La Réunion ,jl.lagourgue@senat.fr,Elu le 24 septembre 2017
M. Marc Laménie,Grand Est, sénateur des Ardennes ,m.lamenie@senat.fr,Elu le 26 août 2007
Mme Florence Lassarade,Nouvelle Aquitaine, sénatrice de la Gironde ,f.lassarade@senat.fr,"Devenue Sénatrice le 1er octobre 2017 (en remplacement de M. Gérard César,"
M. Daniel Laurent,Nouvelle Aquitaine, sénateur de la Charente-Maritime ,cab.daniel.laurent@orange.fr,Elu le 21 septembre 2008
Mme Christine Lavarde,Ile-de-France, sénateur des Hauts-de-Seine ,c.lavarde@senat.fr,Elue le 24 septembre 2017
M. Antoine Lefèvre,Hauts-de-France, sénateur de l'Aisne ,a.lefevre@senat.fr,Elu le 21 septembre 2008
Mme Annie Le Houerou,Bretagne, sénatrice des Côtes-d'Armor ,a.le-houerou@senat.fr,Elue le 27 septembre 2020
M. Jean-Baptiste Lemoyne,Bourgogne-Franche-Comté, sénateur de l'Yonne ,jb.lemoyne@senat.fr,Elu le 28 septembre 2014 jusqu'au 22 juillet 2017 (devenu membre du
M. Henri Leroy,Provence-Alpes-Côte d'Azur, sénateur des Alpes-Maritimes ,h.leroy@senat.fr,"Devenu Sénateur le 1er octobre 2017 (en remplacement de M. Louis Nègre,"
M. Pierre-Antoine Levi,Occitanie, sénateur du Tarn-et-Garonne ,pa.levi@senat.fr,Elu le 27 septembre 2020
Mme Brigitte Lherbier,Hauts-de-France, sénateur du Nord ,b.lherbier@senat.fr,Elue le 24 septembre 2017
Mme Anne-Catherine Loisier,Bourgogne-Franche-Comté, sénatrice de la Côte-d'Or ,ac.loisier@senat.fr,Elue le 28 septembre 2014
M. Gérard Longuet,Grand Est, sénateur de la Meuse ,contact@gerard-longuet.fr,Elu le 23 septembre 2001
M. Pierre Louault,Centre-Val de Loire, sénateur d'Indre-et-Loire ,p.louault@senat.fr,Elu le 24 septembre 2017
Mme Monique Lubin,Nouvelle Aquitaine, sénatrice des Landes ,m.lubin@senat.fr,Elue le 24 septembre 2017
Mme Viviane Malet,La Réunion, sénatrice de La Réunion ,v.malet@senat.fr,Elue le 24 septembre 2017
M. Didier Mandelli,Pays de la Loire, sénateur de la Vendée ,d.mandelli@senat.fr,Elu le 28 septembre 2014
M. Frédéric Marchand,Hauts-de-France, sénateur du Nord ,f.marchand@senat.fr,Elu le 24 septembre 2017
M. Hervé Marseille,Ile-de-France, sénateur des Hauts-de-Seine ,h.marseille@senat.fr,Elu le 25 septembre 2011
M. Jean Louis Masson,Grand Est, sénateur de la Moselle ,['None'],Elu le 23 septembre 2001
M. Hervé Maurey,Normandie, sénateur de l'Eure ,h.maurey@senat.fr,Elu le 21 septembre 2008
M. Thierry Meignen,Ile-de-France, sénateur de la Seine-Saint-Denis ,['None'],"Devenu Sénateur le 28 juillet 2021 (en remplacement de M. Philippe Dallier,"
M. Franck Menonville,Grand Est, sénateur de la Meuse ,f.menonville@senat.fr,Elu le 24 septembre 2017
M. Serge Mérillou,Nouvelle Aquitaine, sénateur de la Dordogne ,s.merillou@senat.fr,Elu le 27 septembre 2020
M. Sébastien Meurant,Ile-de-France, sénateur du Val-d'Oise ,s.meurant@senat.fr,Elu le 24 septembre 2017
Mme Brigitte Micouleau,Occitanie, sénatrice de la Haute-Garonne ,b.micouleau@senat.fr,Elue le 28 septembre 2014
M. Jean-Marie Mizzon,Grand Est, sénateur de la Moselle ,jm.mizzon@senat.fr,Elu le 24 septembre 2017
M. Thani Mohamed Soilihi,Mayotte, sénateur de Mayotte ,t.mohamed-soilihi@senat.fr,Elu le 25 septembre 2011
Mme Marie-Pierre Monier,Auvergne-Rhône-Alpes, sénatrice de la Drôme ,mp.monier@senat.fr,Elue le 28 septembre 2014
M. Albéric de Montgolfier,Centre-Val de Loire, sénateur d'Eure-et-Loir ,a.de-montgolfier@senat.fr,Elu le 21 septembre 2008
Mme Catherine Morin-Desailly,Normandie, sénatrice de la Seine-Maritime ,c.morin-desailly@senat.fr,Elue le 26 septembre 2004
Mme Laurence Muller-Bronn,Grand Est, sénatrice du Bas-Rhin ,l.muller-bronn@senat.fr,Elue le 27 septembre 2020
M. Louis-Jean de Nicolaÿ,Pays de la Loire, sénateur de la Sarthe ,lj.de-nicolay@senat.fr,Elu le 28 septembre 2014
Mme Sylviane Noël,Auvergne-Rhône-Alpes, sénatrice de la Haute-Savoie ,s.noel@senat.fr,"Devenue Sénatrice le 7 août 2018 (en remplacement de M. Jean-Claude Carle,"
Mme Guylène Pantel,Occitanie, sénatrice de la Lozère ,g.pantel@senat.fr,Devenue Sénatrice le 4 mars 2020 (en remplacement de M. Alain Bertrand décédé
Mme Vanina Paoli-Gagin,Grand Est, sénateur de l'Aube ,v.paoli-gagin@senat.fr,Elue le 27 septembre 2020
M. François Patriat,Bourgogne-Franche-Comté, sénateur de la Côte-d'Or ,f.patriat@senat.fr,Elu le 21 septembre 2008
M. Cyril Pellevat,Auvergne-Rhône-Alpes, sénateur de la Haute-Savoie ,c.pellevat@senat.fr,Elu le 28 septembre 2014
M. Cédric Perrin,Bourgogne-Franche-Comté, sénateur du Territoire de Belfort ,cedric.perrin@senat.fr,Elu le 28 septembre 2014
Mme Annick Petrus,Saint-Martin, sénatrice de Saint-Martin ,a.petrus@senat.fr,Elue le 27 septembre 2020
M. Stéphane Piednoir,Pays de la Loire, sénateur de Maine-et-Loire ,s.piednoir@senat.fr,Elu le 24 septembre 2017
Mme Kristina Pluchet,Normandie, sénatrice de l'Eure ,k.pluchet@senat.fr,Elue le 27 septembre 2020
M. Rémy Pointereau,Centre-Val de Loire, sénateur du Cher ,r.pointereau@senat.fr,Elu le 18 septembre 2005
Mme Angèle Préville,Occitanie, sénatrice du Lot ,['None'],Elue le 24 septembre 2017
M. Jean-Paul Prince,Centre-Val de Loire, sénateur de Loir-et-Cher ,['None'],"Devenu Sénateur le 3 novembre 2017 (en remplacement de Mme Jacqueline Gourault,"
Mme Frédérique Puissat,Auvergne-Rhône-Alpes, sénateur de l'Isère ,f.puissat@senat.fr,Elue le 24 septembre 2017
Mme Daphné Ract-Madoux,Ile-de-France, sénatrice de l'Essonne ,d.ract-madoux@senat.fr,"Devenue Sénatrice le 3 février 2022 (en remplacement d'Olivier Léonhardt,"
M. Didier Rambaud,Auvergne-Rhône-Alpes, sénateur de l'Isère ,d.rambaud@senat.fr,Elu le 24 septembre 2017
M. Stéphane Ravier,Provence-Alpes-Côte d'Azur, sénateur des Bouches-du-Rhône ,s.ravier@senat.fr,Elu le 28 septembre 2014
M. Christian Redon-Sarrazy,Nouvelle Aquitaine, sénateur de la Haute-Vienne ,c.redon-sarrazy@senat.fr,Elu le 27 septembre 2020
M. André Reichardt,Grand Est, sénateur du Bas-Rhin ,a.reichardt@senat.fr,"Devenu Sénateur le 15 décembre 2010 (en remplacement de M. Philippe RICHERT,"
M. Jean-Claude Requier,Occitanie, sénateur du Lot ,senateur-requier@orange.fr,Elu le 25 septembre 2011
M. Alain Richard,Ile-de-France, sénateur du Val-d'Oise ,a.richard@senat.fr,Elu le 24 septembre 1995 jusqu'au 4 juillet 1997 (devenu membre du
M. Olivier Rietmann,Bourgogne-Franche-Comté, sénateur de la Haute-Saône ,o.rietmann@senat.fr,Elu le 27 septembre 2020
M. Gilbert Roger,Ile-de-France, sénateur de la Seine-Saint-Denis ,g.roger@senat.fr,Elu le 25 septembre 2011
M. Bruno Rojouan,Auvergne-Rhône-Alpes, sénateur de l'Allier ,b.rojouan@senat.fr,Elu le 27 septembre 2020
M. Jean-Yves Roux,Provence-Alpes-Côte d'Azur, sénateur des Alpes de Haute-Provence ,jy.roux@senat.fr,Elu le 28 septembre 2014
Mme Denise Saint-Pé,Nouvelle Aquitaine, sénateur des Pyrénées-Atlantiques ,d.saint-pe@senat.fr,Elue le 24 septembre 2017
M. Hugues Saury,Centre-Val de Loire, sénateur du Loiret ,h.saury@senat.fr,Elu le 24 septembre 2017
M. René-Paul Savary,Grand Est, sénateur de la Marne ,rp.savary@senat.fr,Elu le 25 septembre 2011
M. Pascal Savoldelli,Ile-de-France, sénateur du Val-de-Marne ,p.savoldelli@senat.fr,Elu le 24 septembre 2017
Mme Patricia Schillinger,Grand Est, sénateur du Haut-Rhin ,p.schillinger@senat.fr,Elue le 26 septembre 2004
M. Bruno Sido,Grand Est, sénateur de la Haute-Marne ,b.sido@senat.fr,Elu le 23 septembre 2001
Mme Nadia Sollogoub,Bourgogne-Franche-Comté, sénateur de la Nièvre ,n.sollogoub@senat.fr,Elue le 24 septembre 2017
M. Lucien Stanzione,Provence-Alpes-Côte d'Azur, sénateur de Vaucluse ,l.stanzione@senat.fr,Elu le 27 septembre 2020
M. Rachid Temal,Ile-de-France, sénateur du Val-d'Oise ,r.temal@senat.fr,Elu le 24 septembre 2017
M. Dominique Théophile,Guadeloupe, sénateur de la Guadeloupe ,d.theophile@senat.fr,Elu le 24 septembre 2017
M. Jean-Claude Tissot,Auvergne-Rhône-Alpes, sénateur de la Loire ,jc.tissot@senat.fr,Elu le 24 septembre 2017
M. André Vallini,Auvergne-Rhône-Alpes, sénateur de l'Isère ,a.vallini@senat.fr,Elu le 25 septembre 2011 jusqu'au 11 mai 2014 (devenu membre du Gouvernement) 
Mme Marie-Claude Varaillas,Nouvelle Aquitaine, sénatrice de la Dordogne ,mc.varaillas@senat.fr,Elue le 27 septembre 2020
Mme Anne Ventalon,Auvergne-Rhône-Alpes, sénatrice de l'Ardèche ,a.ventalon@senat.fr,Elue le 27 septembre 2020
Mme Sylvie Vermeillet,Bourgogne-Franche-Comté, sénatrice du Jura ,s.vermeillet@senat.fr,Elue le 24 septembre 2017
M. Cédric Vial,Auvergne-Rhône-Alpes, sénateur de la Savoie ,c.vial@senat.fr,Elu le 27 septembre 2020
